,accepts_mercadopago,address.city_id,address.city_name,address.state_id,address.state_name,attributes,available_quantity,buying_mode,catalog_product_id,category_id,condition,currency_id,domain_id,id,installments.amount,installments.currency_id,installments.quantity,installments.rate,listing_type_id,official_store_id,original_price,permalink,price,seller.car_dealer,seller.id,seller.permalink,seller.real_estate_agency,seller.registration_date,seller.tags,seller_address.address_line,seller_address.city.id,seller_address.city.name,seller_address.comment,seller_address.country.id,seller_address.country.name,seller_address.id,seller_address.latitude,seller_address.longitude,seller_address.state.id,seller_address.state.name,seller_address.zip_code,shipping.free_shipping,shipping.logistic_type,shipping.mode,shipping.store_pick_up,shipping.tags,site_id,sold_quantity,stop_time,tags,thumbnail,title
0,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'value_name': 'Sony', 'attribute_group_id': 'OTHERS', 'name': 'Marca', 'value_id': '995', 'values': [{'id': '995', 'name': 'Sony', 'struct': None, 'source': 1}], 'attribute_group_name': 'Otros', 'source': 1, 'id': 'BRAND', 'value_struct': None}, {'value_name': 'Nuevo', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 1, 'id': 'ITEM_CONDITION', 'value_id': '2230284', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1}], 'name': 'CondiciÃ³n del Ã\xadtem'}]",9,buy_it_now,,MPE1004,new,PEN,MPE-CD_AND_DVD_PLAYERS,MPE433108265,23.33,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-433108265-dvd-portatil-de-12-pulgadas-nuevo-sellada-_JM,280.0,False,228468733,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,not_specified,not_specified,False,[],MPE,6,2039-05-29T23:42:59.000Z,"['good_quality_thumbnail', 'good_quality_picture', 'immediate_payment']",http://mpe-s2-p.mlstatic.com/605744-MPE42709011119_072020-I.jpg,Dvd Portatil De 12  Pulgadas Nuevo Sellada
1,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'id': 'BRAND', 'name': 'Marca', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'value_id': '215', 'value_name': 'LG', 'values': [{'id': '215', 'name': 'LG', 'struct': None, 'source': 1505}], 'attribute_group_name': 'Otros', 'source': 1505}, {'attribute_group_id': 'OTHERS', 'value_id': '2230284', 'value_name': 'Nuevo', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1}], 'attribute_group_name': 'Otros', 'source': 1, 'id': 'ITEM_CONDITION', 'name': 'CondiciÃ³n del Ã\xadtem'}, {'value_struct': None, 'values': [{'id': '2510612', 'name': 'DP132', 'struct': None, 'source': 1505}], 'attribute_group_name': 'Otros', 'source': 1505, 'name': 'Modelo', 'value_name': 'DP132', 'attribute_group_id': 'OTHERS', 'id': 'MODEL', 'value_id': '2510612'}]",3,buy_it_now,MPE9053663,MPE1004,new,PEN,MPE-CD_AND_DVD_PLAYERS,MPE434382765,10.75,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-434382765-dvd-lg-multiformato-dp132-nuevos-sellados-_JM,129.0,False,288812912,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,custom,custom,False,[],MPE,6,2039-10-19T00:05:41.000Z,"['good_quality_thumbnail', 'good_quality_picture', 'immediate_payment']",http://mpe-s2-p.mlstatic.com/779171-MPE31255540785_062019-I.jpg,Dvd LG Multiformato Dp132 Nuevos Sellados
2,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'name': 'CondiciÃ³n del Ã\xadtem', 'value_id': '2230284', 'value_name': 'Nuevo', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'id': 'ITEM_CONDITION', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1572}], 'attribute_group_name': 'Otros', 'source': 1572}]",17,buy_it_now,,MPE1004,new,PEN,MPE-CD_AND_DVD_PLAYERS,MPE433853177,8.33,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-433853177-reproductor-de-cdvcdmp3-con-decodificador-de-ess-_JM,100.0,False,339959588,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,not_specified,not_specified,False,[],MPE,3,2038-10-26T04:00:00.000Z,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",http://mpe-s2-p.mlstatic.com/769992-MPE32061006842_092019-I.jpg,Reproductor De Cd/vcd/mp3 Con Decodificador De + Ess
3,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'name': 'Marca', 'value_name': 'Panasonic', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 8492822877720875, 'id': 'BRAND', 'values': [{'id': '8', 'name': 'Panasonic', 'struct': None, 'source': 8492822877720875}], 'value_id': '8'}, {'name': 'CondiciÃ³n del Ã\xadtem', 'value_id': '2230284', 'value_struct': None, 'values': [{'source': 1577, 'id': '2230284', 'name': 'Nuevo', 'struct': None}], 'attribute_group_id': 'OTHERS', 'id': 'ITEM_CONDITION', 'value_name': 'Nuevo', 'attribute_group_name': 'Otros', 'source': 1577}]",18,buy_it_now,,MPE1004,new,PEN,MPE-CD_AND_DVD_PLAYERS,MPE419883282,1.67,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-419883282-mini-dvd-rw-panasonic-excelente-calidad-_JM,20.0,False,139070049,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,not_specified,not_specified,False,[],MPE,15,2039-04-23T01:38:33.000Z,"['dragged_bids_and_visits', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",http://mpe-s1-p.mlstatic.com/817535-MPE31253455639_062019-I.jpg,Mini Dvd-rw Panasonic Excelente Calidad
4,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'name': 'Marca', 'value_id': '995', 'value_name': 'Sony', 'value_struct': None, 'id': 'BRAND', 'values': [{'name': 'Sony', 'struct': None, 'source': 1, 'id': '995'}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 1}, {'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 1, 'id': 'ITEM_CONDITION', 'name': 'CondiciÃ³n del Ã\xadtem', 'value_name': 'Nuevo', 'values': [{'struct': None, 'source': 1, 'id': '2230284', 'name': 'Nuevo'}], 'value_id': '2230284', 'value_struct': None}]",1,buy_it_now,,MPE1004,new,PEN,MPE-CD_AND_DVD_PLAYERS,MPE431714651,10.75,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-431714651-dvd-sony-sr370-multiformato-nuevos-sellados-_JM,129.0,False,288812912,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,custom,custom,False,[],MPE,15,2038-06-20T04:00:00.000Z,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",http://mpe-s2-p.mlstatic.com/851772-MPE29543143591_032019-I.jpg,Dvd Sony Sr370 Multiformato Nuevos Sellados
5,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'value_name': 'LG', 'value_struct': None, 'values': [{'source': 6808261514773724, 'id': '215', 'name': 'LG', 'struct': None}], 'attribute_group_name': 'Otros', 'id': 'BRAND', 'value_id': '215', 'attribute_group_id': 'OTHERS', 'source': 6808261514773724, 'name': 'Marca'}, {'values': [{'name': 'Nuevo', 'struct': None, 'source': 6808261514773724, 'id': '2230284'}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'value_struct': None, 'id': 'ITEM_CONDITION', 'name': 'CondiciÃ³n del Ã\xadtem', 'value_id': '2230284', 'value_name': 'Nuevo'}, {'value_id': None, 'value_name': 'LECTORAS', 'values': [{'name': 'LECTORAS', 'struct': None, 'source': 6808261514773724, 'id': None}], 'attribute_group_name': 'Otros', 'id': 'LINE', 'name': 'LÃ\xadnea', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'source': 6808261514773724}, {'id': 'MODEL', 'value_id': None, 'value_name': 'GH24NSD1', 'values': [{'id': None, 'name': 'GH24NSD1', 'struct': None, 'source': 6808261514773724}], 'source': 6808261514773724, 'name': 'Modelo', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}]",100,buy_it_now,,MPE1004,new,PEN,MPE-CD_AND_DVD_PLAYERS,MPE438492919,6.67,PEN,12,0,gold_special,268.0,104.0,https://articulo.mercadolibre.com.pe/MPE-438492919-multigrabador-dvd-cd-lg-gh24nsd1-_JM,80.0,False,65516570,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,not_specified,not_specified,False,[],MPE,0,2039-10-07T04:00:00.000Z,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",http://mpe-s2-p.mlstatic.com/725901-MPE32517444721_102019-I.jpg,Multigrabador Dvd - Cd LG Gh24nsd1 
6,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'name': 'Marca', 'value_struct': None, 'source': 1572, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'BRAND', 'value_id': '2416999', 'value_name': 'Cafini', 'values': [{'id': '2416999', 'name': 'Cafini', 'struct': None, 'source': 1572}]}, {'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1}], 'id': 'ITEM_CONDITION', 'value_id': '2230284', 'value_name': 'Nuevo', 'value_struct': None, 'name': 'CondiciÃ³n del Ã\xadtem', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 1}, {'id': 'MODEL', 'value_name': 'cn-d5203', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'name': 'Modelo', 'value_id': None, 'value_struct': None, 'values': [{'source': 1572, 'id': None, 'name': 'cn-d5203', 'struct': None}], 'source': 1572}]",50,buy_it_now,,MPE1004,new,PEN,MPE-CD_AND_DVD_PLAYERS,MPE429448587,12.42,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-429448587-dvd-digital-player-multifuncional-innova-leds-_JM,149.0,False,205314906,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,True,not_specified,not_specified,False,[],MPE,0,2038-02-12T03:12:32.000Z,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",http://mpe-s2-p.mlstatic.com/675500-MPE32058926193_092019-I.jpg,Dvd Digital Player Multifuncional/ Innova Leds
7,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'name': 'Marca', 'value_id': '5461145', 'value_name': 'Hi Tech', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'id': 'BRAND', 'values': [{'id': '5461145', 'name': 'Hi Tech', 'struct': None, 'source': 377188858949192}], 'attribute_group_name': 'Otros', 'source': 377188858949192}, {'id': 'ITEM_CONDITION', 'value_name': 'Nuevo', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1}], 'source': 1, 'name': 'CondiciÃ³n del Ã\xadtem', 'value_id': '2230284', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}]",3,buy_it_now,,MPE1004,new,PEN,,MPE439307195,41.25,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-439307195-sylvania-reproductor-de-dvd-cd-mp3-portatil-con-pan-_JM,495.0,False,483147987,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,not_specified,not_specified,False,[],MPE,0,2040-01-14T04:00:00.000Z,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",http://mpe-s2-p.mlstatic.com/713026-MPE40486419563_012020-I.jpg,Sylvania - Reproductor De Dvd / Cd / Mp3 PortÃ¡til Con Pan
8,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'id': 'BRAND', 'value_id': '1157684', 'value_struct': None, 'values': [{'source': 377188858949192, 'id': '1157684', 'name': 'Dual', 'struct': None}], 'source': 377188858949192, 'name': 'Marca', 'value_name': 'Dual', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}, {'value_struct': None, 'attribute_group_id': 'OTHERS', 'id': 'ITEM_CONDITION', 'value_id': '2230284', 'value_name': 'Nuevo', 'source': 1, 'name': 'CondiciÃ³n del Ã\xadtem', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1}], 'attribute_group_name': 'Otros'}]",3,buy_it_now,,MPE1004,new,PEN,,MPE439307251,65.5,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-439307251-koramzi-portable-9-dual-screen-dual-dvd-player-w-recharg-_JM,786.0,False,483147987,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,not_specified,not_specified,False,[],MPE,0,2040-01-14T04:00:00.000Z,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",http://mpe-s2-p.mlstatic.com/780746-MPE40486435007_012020-I.jpg,Koramzi Portable 9  Dual Screen Dual Dvd Player W Recharg
9,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'value_name': 'Master-G', 'attribute_group_id': 'OTHERS', 'name': 'Marca', 'value_id': '46195', 'values': [{'id': '46195', 'name': 'Master-G', 'struct': None, 'source': 8492822877720875}], 'attribute_group_name': 'Otros', 'source': 8492822877720875, 'id': 'BRAND', 'value_struct': None}, {'source': 6808261514773724, 'name': 'CondiciÃ³n del Ã\xadtem', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'id': 'ITEM_CONDITION', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6808261514773724}], 'attribute_group_name': 'Otros'}, {'value_id': '34573', 'value_name': 'MG230', 'source': 1000427007642219, 'id': 'MODEL', 'value_struct': None, 'values': [{'source': 1000427007642219, 'id': '34573', 'name': 'MG230', 'struct': None}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'name': 'Modelo'}]",10,buy_it_now,MPE9078316,MPE1004,new,PEN,MPE-CD_AND_DVD_PLAYERS,MPE437503507,8.33,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-437503507-reproductor-de-dvd-master-g-colo-negro-modelo-mg230-_JM,100.0,False,203683137,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,not_specified,not_specified,False,[],MPE,0,2039-08-05T04:00:00.000Z,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",http://mpe-s2-p.mlstatic.com/924195-MPE31766769092_082019-I.jpg,Reproductor De Dvd Master G Colo Negro Modelo Mg230
10,True,TVBFQ0NBTDEzN2Q,Callao,PE-CAL,Callao,"[{'id': 'BRAND', 'value_name': 'Sony', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'source': 8492822877720875, 'name': 'Marca', 'value_id': '995', 'values': [{'id': '995', 'name': 'Sony', 'struct': None, 'source': 8492822877720875}], 'attribute_group_name': 'Otros'}, {'name': 'CondiciÃ³n del Ã\xadtem', 'value_id': '2230284', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'source': 1, 'id': 'ITEM_CONDITION', 'value_name': 'Nuevo', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1}], 'attribute_group_name': 'Otros'}, {'value_id': '2556463', 'value_name': 'DVP-SR210P', 'values': [{'source': 1000427007642219, 'id': '2556463', 'name': 'DVP-SR210P', 'struct': None}], 'attribute_group_name': 'Otros', 'source': 1000427007642219, 'id': 'MODEL', 'name': 'Modelo', 'value_struct': None, 'attribute_group_id': 'OTHERS'}]",3,buy_it_now,MPE9100413,MPE1004,new,PEN,MPE-CD_AND_DVD_PLAYERS,MPE438828260,24.75,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-438828260-reproductor-de-dvd-sony-dvpsr210p-escaneo-progresivo-_JM,297.0,False,483147987,,False,,,,TVBFQ0NBTDEzN2Q,Callao,,PE,Peru,,,,PE-CAL,Callao,,False,not_specified,not_specified,False,[],MPE,0,2039-11-21T04:00:00.000Z,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",http://mpe-s1-p.mlstatic.com/754156-MPE33007716789_112019-I.jpg,Reproductor De Dvd Sony Dvpsr210p (escaneo Progresivo)
11,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'values': [{'source': 377188858949192, 'id': '2778974', 'name': 'DBPower', 'struct': None}], 'attribute_group_id': 'OTHERS', 'id': 'BRAND', 'name': 'Marca', 'value_id': '2778974', 'value_name': 'DBPower', 'value_struct': None, 'attribute_group_name': 'Otros', 'source': 377188858949192}, {'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 1, 'id': 'ITEM_CONDITION', 'name': 'CondiciÃ³n del Ã\xadtem', 'value_struct': None, 'values': [{'struct': None, 'source': 1, 'id': '2230284', 'name': 'Nuevo'}]}]",3,buy_it_now,,MPE1004,new,PEN,,MPE439307426,42.25,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-439307426-upgraded-dbpower-portable-dvd-player-con-105-pantal-_JM,507.0,False,483147987,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,not_specified,not_specified,False,[],MPE,0,2040-01-14T04:00:00.000Z,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",http://mpe-s1-p.mlstatic.com/744052-MPE40486425764_012020-I.jpg,"Â¿upgradedÂ¿ Dbpower Portable Dvd Player Con 10,5 '' Pantal"
12,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'id': 'BRAND', 'value_id': '3', 'value_struct': None, 'source': 6808261514773724, 'name': 'Marca', 'value_name': 'Philips', 'values': [{'id': '3', 'name': 'Philips', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}, {'value_id': '2230581', 'value_name': 'Usado', 'id': 'ITEM_CONDITION', 'value_struct': None, 'values': [{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'name': 'CondiciÃ³n del Ã\xadtem'}]",1,buy_it_now,,MPE1004,used,PEN,MPE-CD_AND_DVD_PLAYERS,MPE440306037,2.42,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-440306037-dvd-philips-_JM,29.0,False,7091790,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,True,not_specified,not_specified,False,[],MPE,0,2040-06-11T04:00:00.000Z,"['good_quality_picture', 'immediate_payment']",http://mpe-s2-p.mlstatic.com/690057-MPE40802109502_022020-I.jpg,Dvd Philips
13,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'values': [{'id': '5461145', 'name': 'Hi Tech', 'struct': None, 'source': 377188858949192}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 377188858949192, 'id': 'BRAND', 'name': 'Marca', 'value_id': '5461145', 'value_name': 'Hi Tech', 'value_struct': None}, {'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1}], 'attribute_group_name': 'Otros', 'id': 'ITEM_CONDITION', 'value_id': '2230284', 'value_name': 'Nuevo', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'source': 1, 'name': 'CondiciÃ³n del Ã\xadtem'}]",3,buy_it_now,,MPE1004,new,PEN,,MPE439307206,16.33,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-439307206-unidad-optica-externa-usb-20-reproductor-de-dvd-cd-par-_JM,196.0,False,483147987,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,not_specified,not_specified,False,[],MPE,0,2040-01-14T04:00:00.000Z,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",http://mpe-s1-p.mlstatic.com/981885-MPE40486425236_012020-I.jpg,Unidad Ã“ptica Externa Usb 2.0 Reproductor De Dvd / Cd Par
14,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'name': 'CondiciÃ³n del Ã\xadtem', 'value_id': '2230284', 'attribute_group_id': 'OTHERS', 'source': 1572, 'id': 'ITEM_CONDITION', 'value_struct': None, 'values': [{'name': 'Nuevo', 'struct': None, 'source': 1572, 'id': '2230284'}], 'attribute_group_name': 'Otros', 'value_name': 'Nuevo'}]",23,buy_it_now,,MPE1004,new,PEN,,MPE431446248,4.42,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-431446248-soporte-de-tablet-para-asiento-de-auto-para-10-pulgadas-_JM,53.0,False,134087850,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,custom,custom,False,[],MPE,2,2038-12-07T20:03:23.000Z,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",http://mpe-s1-p.mlstatic.com/932642-MPE31254678889_062019-I.jpg,"Soporte De Tablet Para Asiento De Auto, Para 10 Pulgadas"
15,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'id': 'BRAND', 'value_struct': None, 'values': [{'struct': None, 'source': 377188858949192, 'id': '215', 'name': 'LG'}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 377188858949192, 'name': 'Marca', 'value_id': '215', 'value_name': 'LG'}, {'value_id': '2230284', 'value_struct': None, 'values': [{'name': 'Nuevo', 'struct': None, 'source': 1, 'id': '2230284'}], 'attribute_group_id': 'OTHERS', 'source': 1, 'id': 'ITEM_CONDITION', 'value_name': 'Nuevo', 'attribute_group_name': 'Otros', 'name': 'CondiciÃ³n del Ã\xadtem'}]",3,buy_it_now,,MPE1004,new,PEN,,MPE439307250,23.17,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-439307250-reescribedor-de-dvd-portatil-ultra-delgado-lg-electronics-_JM,278.0,False,483147987,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,not_specified,not_specified,False,[],MPE,0,2040-01-14T04:00:00.000Z,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",http://mpe-s1-p.mlstatic.com/898914-MPE40486425367_012020-I.jpg,Reescribedor De Dvd PortÃ¡til Ultra Delgado Lg Electronics
16,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'name': 'Marca', 'value_name': 'Panasonic', 'value_struct': None, 'attribute_group_name': 'Otros', 'id': 'BRAND', 'value_id': '8', 'values': [{'id': '8', 'name': 'Panasonic', 'struct': None, 'source': 7092}], 'attribute_group_id': 'OTHERS', 'source': 7092}, {'value_struct': None, 'id': 'ITEM_CONDITION', 'name': 'CondiciÃ³n del Ã\xadtem', 'value_id': '2230581', 'value_name': 'Usado', 'values': [{'source': 1, 'id': '2230581', 'name': 'Usado', 'struct': None}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 1}, {'name': 'Modelo', 'value_name': 'DVD-S1', 'values': [{'id': '2534282', 'name': 'DVD-S1', 'struct': None, 'source': 7092}], 'source': 7092, 'id': 'MODEL', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_id': '2534282'}]",1,buy_it_now,MPE9077023,MPE1004,used,PEN,MPE-CD_AND_DVD_PLAYERS,MPE439510012,4.17,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-439510012-dvd-s1-_JM,50.0,False,185903411,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,not_specified,not_specified,False,[],MPE,0,2040-02-14T04:00:00.000Z,"['good_quality_picture', 'dragged_bids_and_visits', 'immediate_payment']",http://mpe-s1-p.mlstatic.com/749137-MPE32230911056_092019-I.jpg,Dvd - S1
17,True,TVBFQ0xJTWE2NjBi,Lima,PE-LIM,Lima,"[{'attribute_group_id': 'OTHERS', 'source': 377188858949192, 'name': 'Marca', 'value_id': '4605863', 'values': [{'id': '4605863', 'name': 'Apeman', 'struct': None, 'source': 377188858949192}], 'attribute_group_name': 'Otros', 'id': 'BRAND', 'value_name': 'Apeman', 'value_struct': None}, {'value_id': '2230284', 'value_struct': None, 'source': 1, 'id': 'ITEM_CONDITION', 'name': 'CondiciÃ³n del Ã\xadtem', 'value_name': 'Nuevo', 'values': [{'name': 'Nuevo', 'struct': None, 'source': 1, 'id': '2230284'}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}]",3,buy_it_now,,MPE1004,new,PEN,,MPE439307317,31.83,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-439307317-apeman-75-reproductor-portatil-de-dvd-con-pantalla-gi-_JM,382.0,False,483147987,,False,,,,TVBFQ0xJTWE2NjBi,Lima,,PE,Peru,,,,PE-LIM,Lima,,False,not_specified,not_specified,False,[],MPE,0,2040-01-14T04:00:00.000Z,"['good_quality_thumbnail', 'good_quality_picture', 'immediate_payment']",http://mpe-s2-p.mlstatic.com/948741-MPE40486437101_012020-I.jpg,Apeman 7.5 '' Reproductor PortÃ¡til De Dvd Con Pantalla Gi
18,True,TVBFQ0NBTDEzN2Q,Callao,PE-CAL,Callao,"[{'value_name': 'Panasonic', 'values': [{'struct': None, 'source': 377188858949192, 'id': '8', 'name': 'Panasonic'}], 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 377188858949192, 'id': 'BRAND', 'name': 'Marca', 'value_id': '8'}, {'name': 'CondiciÃ³n del Ã\xadtem', 'value_id': '2230284', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1}], 'id': 'ITEM_CONDITION', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 1}]",3,buy_it_now,,MPE1004,new,PEN,MPE-CD_AND_DVD_PLAYERS,MPE439307286,42.17,PEN,12,0,gold_special,,,https://articulo.mercadolibre.com.pe/MPE-439307286-panasonic-dvd-s700ep-k-reproductor-de-dvd-multiregion--_JM,506.0,False,483147987,,False,,,,TVBFQ0NBTDEzN2Q,Callao,,PE,Peru,,,,PE-CAL,Callao,,False,not_specified,not_specified,False,[],MPE,0,2040-01-14T04:00:00.000Z,"['good_quality_thumbnail', 'good_quality_picture', 'immediate_payment']",http://mpe-s1-p.mlstatic.com/901135-MPE40486419795_012020-I.jpg,Panasonic Dvd-s700ep-k - Reproductor De Dvd MultiregiÃ³n (
